"","plant_id","transition","size_t0","size_t1","leaf_length_t0","leaf_length_t1","leaf_width_t0","leaf_width_t1","no_fl","fl_stem_height","fl_infl_height","SL","surv","years","site","pr_fl"
"224",36,2,5,NA,20.7,NA,0.7,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"225",93,2,5,NA,11.1,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"226",116,2,3,NA,8.3,NA,0.5,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"227",103,2,2,NA,4.5,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"228",108,2,1,NA,3.1,NA,0.3,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"229",105,2,2,NA,8.3,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"230",105,2,2,NA,7.6,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"231",105,2,3,NA,4.2,NA,0.3,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"232",103,2,4,NA,5.9,NA,0.5,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"233",103,2,5,NA,9,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"234",103,2,4,NA,9.7,NA,0.8,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"235",103,2,6,NA,10.3,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"236",8,1,NA,2,NA,4.6,NA,0.3,0,NA,NA,2,0,"2018 - 2019","Halle",0
"237",8,1,NA,NA,NA,NA,NA,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"238",115,1,NA,2,NA,6.3,NA,0.5,0,NA,NA,2,0,"2018 - 2019","Halle",0
"239",123,1,NA,4,NA,4.9,NA,0.5,0,NA,NA,5,0,"2018 - 2019","Halle",0
"240",12,1,NA,NA,NA,NA,NA,NA,0,NA,NA,3,0,"2018 - 2019","Halle",0
"241",131,1,NA,2,NA,8.4,NA,0.6,0,NA,NA,3,0,"2018 - 2019","Halle",0
"242",135,1,NA,5,NA,12.4,NA,0.8,0,NA,NA,8,0,"2018 - 2019","Halle",0
"243",136,1,NA,3,NA,6.1,NA,0.6,0,NA,NA,8,0,"2018 - 2019","Halle",0
"244",137,1,NA,3,NA,7.6,NA,0.5,0,NA,NA,8,0,"2018 - 2019","Halle",0
"245",138,1,NA,3,NA,3.6,NA,0.5,0,NA,NA,8,0,"2018 - 2019","Halle",0
"246",139,1,NA,3,NA,5,NA,0.4,0,NA,NA,8,0,"2018 - 2019","Halle",0
"247",140,1,NA,4,NA,6.3,NA,0.3,0,NA,NA,8,0,"2018 - 2019","Halle",0
"248",141,1,NA,4,NA,5,NA,0.4,0,NA,NA,8,0,"2018 - 2019","Halle",0
"249",132,1,NA,3,NA,8,NA,0.5,0,NA,NA,5,0,"2018 - 2019","Halle",0
"250",133,1,NA,3,NA,6.6,NA,0.4,0,NA,NA,5,0,"2018 - 2019","Halle",0
"251",134,1,NA,4,NA,4.5,NA,0.4,0,NA,NA,5,0,"2018 - 2019","Halle",0
"252",124,1,NA,3,NA,4.3,NA,0.3,0,NA,NA,2,0,"2018 - 2019","Halle",0
"253",125,1,NA,4,NA,5.2,NA,0.4,0,NA,NA,2,0,"2018 - 2019","Halle",0
"254",126,1,NA,3,NA,5,NA,0.4,0,NA,NA,2,0,"2018 - 2019","Halle",0
"255",2,3,3,3,10,139,0.9,19,0,0,0,2,1,"2020 - 2021","Halle",0
"256",2,3,5,3,11.1,139,1.2,19,1,14,1.1,2,1,"2020 - 2021","Halle",1
"257",3,3,7,9,8.7,200,1.2,19,0,0,0,2,1,"2020 - 2021","Halle",0
"258",4,3,6,6,5.7,164,0.7,12,0,0,0,2,1,"2020 - 2021","Halle",0
"259",5,3,1,NA,3.5,NA,0.6,NA,0,0,0,2,0,"2020 - 2021","Halle",0
"260",5,3,2,NA,5,NA,0.4,NA,0,0,0,2,0,"2020 - 2021","Halle",0
"261",6,3,NA,6,NA,152,NA,9,0,NA,NA,2,0,"2020 - 2021","Halle",0
"262",6,3,6,6,10.8,152,1.4,9,1,15.5,1,2,1,"2020 - 2021","Halle",1
"263",7,3,7,17,11.3,185,0.6,16,0,0,0,2,1,"2020 - 2021","Halle",0
"264",8,3,2,NA,4.6,NA,0.3,NA,0,0,0,2,0,"2020 - 2021","Halle",0
"265",8,3,NA,NA,NA,NA,NA,NA,0,NA,NA,2,0,"2020 - 2021","Halle",0
"266",9,3,3,4,9.7,169,0.8,8,0,0,0,2,1,"2020 - 2021","Halle",0
"267",11,3,5,4,8.1,110,0.6,6,0,0,0,2,1,"2020 - 2021","Halle",0
"268",17,3,3,3,12.4,110,0.6,4,0,0,0,2,1,"2020 - 2021","Halle",0
"269",4,3,NA,6,NA,164,NA,12,0,NA,NA,2,0,"2020 - 2021","Halle",0
"270",115,3,2,1,6.3,89,0.5,6,0,0,0,2,1,"2020 - 2021","Halle",0
"271",112,3,9,11,9.4,155,0.8,14,1,10.3,0.6,2,1,"2020 - 2021","Halle",1
"272",21,3,7,7,10.2,136,1,5,0,0,0,5,1,"2020 - 2021","Halle",0
"273",21,3,9,7,12.9,136,0.9,5,0,0,0,5,1,"2020 - 2021","Halle",0
"274",127,3,11,NA,9.2,NA,0.7,NA,0,0,0,5,0,"2020 - 2021","Halle",0
"275",123,3,4,NA,4.9,NA,0.5,NA,0,0,0,5,0,"2020 - 2021","Halle",0
"276",10,3,3,4,7.3,153,1,11,0,0,0,3,1,"2020 - 2021","Halle",0
"277",10,3,4,4,8.9,153,0.8,11,0,0,0,3,1,"2020 - 2021","Halle",0
"278",131,3,2,3,8.4,214,0.6,9,0,0,0,3,1,"2020 - 2021","Halle",0
"279",135,3,5,7,12.4,235,0.8,16,0,0,0,8,1,"2020 - 2021","Halle",0
"280",136,3,3,2,6.1,170,0.6,8,0,0,0,8,1,"2020 - 2021","Halle",0
"281",137,3,3,NA,7.6,NA,0.5,NA,0,0,0,8,0,"2020 - 2021","Halle",0
"282",138,3,3,4,3.6,80,0.5,4,0,0,0,8,1,"2020 - 2021","Halle",0
"283",139,3,3,3,5,114,0.4,6,0,0,0,8,1,"2020 - 2021","Halle",0
"284",140,3,4,2,6.3,80,0.3,2,0,0,0,8,1,"2020 - 2021","Halle",0
"285",141,3,4,NA,5,NA,0.4,NA,0,0,0,8,0,"2020 - 2021","Halle",0
"286",50,3,3,NA,9.5,NA,0.8,NA,0,0,0,6,0,"2020 - 2021","Halle",0
"287",128,3,3,3,7.7,144,0.3,8,0,0,0,5,1,"2020 - 2021","Halle",0
"288",129,3,3,13,5.5,250,0.6,14,0,0,0,5,1,"2020 - 2021","Halle",0
"289",130,3,3,6,6.5,212,0.4,11,0,0,0,5,1,"2020 - 2021","Halle",0
"290",132,3,3,5,8,228,0.5,15,0,0,0,5,1,"2020 - 2021","Halle",0
"291",133,3,3,5,6.6,171,0.4,8,0,0,0,5,1,"2020 - 2021","Halle",0
"292",134,3,4,NA,4.5,NA,0.4,NA,0,0,0,5,0,"2020 - 2021","Halle",0
"293",119,3,3,NA,5.2,NA,0.4,NA,0,0,0,2,0,"2020 - 2021","Halle",0
"294",120,3,3,5,3.5,81,0.4,4,0,0,0,2,1,"2020 - 2021","Halle",0
"295",121,3,3,6,3.9,164,0.4,9,0,0,0,2,1,"2020 - 2021","Halle",0
"296",122,3,3,NA,3.9,NA,0.4,NA,0,0,0,2,0,"2020 - 2021","Halle",0
"297",124,3,3,4,4.3,139,0.3,8,0,0,0,2,1,"2020 - 2021","Halle",0
"298",125,3,4,6,5.2,166,0.4,10,0,0,0,2,1,"2020 - 2021","Halle",0
"299",126,3,3,NA,5,NA,0.4,NA,0,0,0,2,0,"2020 - 2021","Halle",0
"300",8,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"2018 - 2019","Halle",0
"301",115,1,NA,1,NA,89,NA,6,0,NA,NA,0,0,"2018 - 2019","Halle",0
"302",123,1,NA,NA,NA,NA,NA,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"303",0,1,NA,3,NA,115,NA,6,0,NA,NA,2,0,"2018 - 2019","Halle",0
"304",131,1,NA,3,NA,214,NA,9,1,NA,NA,5,0,"2018 - 2019","Halle",1
"305",178,1,NA,4,NA,132,NA,6,0,NA,NA,5,0,"2018 - 2019","Halle",0
"306",135,1,NA,7,NA,235,NA,16,2,NA,NA,6,0,"2018 - 2019","Halle",1
"307",136,1,NA,2,NA,170,NA,8,0,NA,NA,6,0,"2018 - 2019","Halle",0
"308",137,1,NA,NA,NA,NA,NA,NA,0,NA,NA,6,0,"2018 - 2019","Halle",0
"309",138,1,NA,4,NA,80,NA,4,0,NA,NA,6,0,"2018 - 2019","Halle",0
"310",139,1,NA,3,NA,114,NA,6,0,NA,NA,6,0,"2018 - 2019","Halle",0
"311",140,1,NA,2,NA,80,NA,2,0,NA,NA,6,0,"2018 - 2019","Halle",0
"312",141,1,NA,5,NA,120,NA,5,0,NA,NA,6,0,"2018 - 2019","Halle",0
"313",3392,1,NA,3,NA,145,NA,6,0,NA,NA,6,0,"2018 - 2019","Halle",0
"314",179,1,NA,3,NA,150,NA,7,0,NA,NA,6,0,"2018 - 2019","Halle",0
"315",3393,1,NA,4,NA,180,NA,9,0,NA,NA,6,0,"2018 - 2019","Halle",0
"316",180,1,NA,4,NA,100,NA,5,0,NA,NA,6,0,"2018 - 2019","Halle",0
"317",3395,1,NA,4,NA,135,NA,7,0,NA,NA,6,0,"2018 - 2019","Halle",0
"318",3396,1,NA,4,NA,225,NA,4,0,NA,NA,6,0,"2018 - 2019","Halle",0
"319",132,1,NA,5,NA,228,NA,15,1,NA,NA,1,0,"2018 - 2019","Halle",1
"320",133,1,NA,5,NA,171,NA,8,0,NA,NA,1,0,"2018 - 2019","Halle",0
"321",134,1,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,"2018 - 2019","Halle",0
"322",141,1,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,"2018 - 2019","Halle",0
"323",177,1,NA,4,NA,122,NA,4,0,NA,NA,1,0,"2018 - 2019","Halle",0
"324",124,1,NA,4,NA,139,NA,8,0,NA,NA,8,0,"2018 - 2019","Halle",0
"325",125,1,NA,6,NA,166,NA,10,0,NA,NA,8,0,"2018 - 2019","Halle",0
"326",126,1,NA,NA,NA,NA,NA,NA,0,NA,NA,8,0,"2018 - 2019","Halle",0
"327",174,1,NA,5,NA,158,NA,8,0,NA,NA,8,0,"2018 - 2019","Halle",0
"328",175,1,NA,4,NA,101,NA,8,0,NA,NA,8,0,"2018 - 2019","Halle",0
"329",173,1,NA,5,NA,133,NA,6,0,NA,NA,4,0,"2018 - 2019","Halle",0
"1100",1,1,9,6,7,6.5,1.7,0.8,5,10.3,1,0,1,"2018 - 2019","Bad Lauchstädt",1
"2100",2,1,9,NA,14,NA,1.9,NA,6,17,2.1,0,0,"2018 - 2019","Bad Lauchstädt",1
"334",2,1,4,NA,7,NA,0.6,NA,1,11.5,1,0,0,"2018 - 2019","Bad Lauchstädt",1
"451",2,1,12,NA,8.6,NA,1,NA,2,15.5,1.4,0,0,"2018 - 2019","Bad Lauchstädt",1
"559",2,1,8,NA,8,NA,0.9,NA,3,13,1.3,0,0,"2018 - 2019","Bad Lauchstädt",1
"610",2,1,9,NA,9.8,NA,0.9,NA,3,13.5,1,0,0,"2018 - 2019","Bad Lauchstädt",1
"710",2,1,10,NA,12.7,NA,1.3,NA,4,14,1.7,0,0,"2018 - 2019","Bad Lauchstädt",1
"810",5,1,4,3,12.5,4,1.4,0.6,0,NA,NA,0,1,"2018 - 2019","Bad Lauchstädt",0
"910",4,1,7,NA,9,NA,1.3,NA,2,11,1,0,0,"2018 - 2019","Bad Lauchstädt",1
"1010",4,1,18,NA,10,NA,1.5,NA,6,15.5,1.7,0,0,"2018 - 2019","Bad Lauchstädt",1
"1110",4,1,6,NA,9,NA,1.2,NA,2,12,0.9,0,0,"2018 - 2019","Bad Lauchstädt",1
"1210",4,1,9,NA,14.5,NA,2,NA,5,18,2.5,0,0,"2018 - 2019","Bad Lauchstädt",1
"1310",4,1,5,NA,9,NA,1.7,NA,2,12.5,1.5,0,0,"2018 - 2019","Bad Lauchstädt",1
"1410",3,1,15,NA,12,NA,1.3,NA,3,19,2.5,0,0,"2018 - 2019","Bad Lauchstädt",1
"1510",3,1,7,NA,11.2,NA,1.5,NA,2,25,3,0,0,"2018 - 2019","Bad Lauchstädt",1
"1610",6,1,39,NA,13.8,NA,1.4,NA,23,21.2,2.2,1,0,"2018 - 2019","Bad Lauchstädt",1
"1710",7,1,49,NA,11.4,NA,1.5,NA,2,18.8,1.1,1,0,"2018 - 2019","Bad Lauchstädt",1
"1810",11,1,5,NA,9.3,NA,1.1,NA,2,17.3,1.5,1,0,"2018 - 2019","Bad Lauchstädt",1
"1910",10,1,6,NA,8.7,NA,1.3,NA,3,18.6,1.6,1,0,"2018 - 2019","Bad Lauchstädt",1
"2010",14,1,29,NA,10.4,NA,1.6,NA,6,18.4,2.3,1,0,"2018 - 2019","Bad Lauchstädt",1
"2110",15,1,32,NA,13.5,NA,1.4,NA,13,22.6,2.2,1,0,"2018 - 2019","Bad Lauchstädt",1
"2210",15,1,36,NA,16.1,NA,1.3,NA,22,34.5,3,1,0,"2018 - 2019","Bad Lauchstädt",1
"2310",16,1,17,NA,7.9,NA,1.1,NA,5,16.5,1.5,1,0,"2018 - 2019","Bad Lauchstädt",1
"2410",17,1,52,NA,17,NA,1.1,NA,27,3,3,1,0,"2018 - 2019","Bad Lauchstädt",1
"2510",18,1,10,7,8.5,9,1,1,0,NA,NA,1,1,"2018 - 2019","Bad Lauchstädt",0
"2610",19,1,25,NA,9.1,NA,0.9,NA,1,17.5,1.1,0,0,"2018 - 2019","Bad Lauchstädt",1
"2710",20,1,15,NA,12.3,NA,1.6,NA,7,24.3,1.4,0,0,"2018 - 2019","Bad Lauchstädt",1
"2810",21,1,11,NA,9.2,NA,0.7,NA,1,21.8,1.1,0,0,"2018 - 2019","Bad Lauchstädt",1
"2910",28,1,14,NA,13,NA,1.9,NA,8,36.5,2.4,0,0,"2018 - 2019","Bad Lauchstädt",1
"3010",22,1,12,NA,18.7,NA,2,NA,3,36,3.1,0,0,"2018 - 2019","Bad Lauchstädt",1
"3110",24,1,5,5,9,7.5,0.9,1.3,0,NA,NA,0,1,"2018 - 2019","Bad Lauchstädt",0
"3210",23,1,7,NA,18,NA,1.4,NA,1,29.5,1.5,0,0,"2018 - 2019","Bad Lauchstädt",1
"335",38,1,16,NA,12.7,NA,1.5,NA,4,21.6,1.4,0,0,"2018 - 2019","Bad Lauchstädt",1
"3410",26,1,8,NA,10.5,NA,1.6,NA,1,8.7,0.3,0,0,"2018 - 2019","Bad Lauchstädt",1
"3510",25,1,12,NA,15.6,NA,1.6,NA,3,37.1,2.2,0,0,"2018 - 2019","Bad Lauchstädt",1
"3610",27,1,11,NA,7.5,NA,0.8,NA,0,NA,NA,0,0,"2018 - 2019","Bad Lauchstädt",0
"3710",30,1,3,NA,6,NA,1.1,NA,1,9.1,0.7,1,0,"2018 - 2019","Bad Lauchstädt",1
"3810",29,1,11,6,8.7,6.5,1,0.8,0,NA,NA,1,1,"2018 - 2019","Bad Lauchstädt",0
"3910",32,1,9,NA,14.1,NA,1.2,NA,3,34.3,2.1,1,0,"2018 - 2019","Bad Lauchstädt",1
"4010",33,1,31,17,16,13,2,2,9,36.9,4,1,1,"2018 - 2019","Bad Lauchstädt",1
"4110",31,1,6,NA,7.7,NA,0.9,NA,1,14.5,0.8,1,0,"2018 - 2019","Bad Lauchstädt",1
"4210",31,1,4,NA,4.5,NA,0.4,NA,0,NA,NA,1,0,"2018 - 2019","Bad Lauchstädt",0
"4310",57,1,2,NA,4,NA,0.5,NA,1,15,1.3,2,0,"2018 - 2019","Bad Lauchstädt",1
"4410",55,1,4,17,9,10.1,1,1,0,NA,NA,2,1,"2018 - 2019","Bad Lauchstädt",0
"4510",41,1,34,NA,11.5,NA,1.9,NA,33,34.5,2.5,2,0,"2018 - 2019","Bad Lauchstädt",1
"4610",64,1,7,16,11.4,10,1.1,1.1,0,NA,NA,1,1,"2018 - 2019","Bad Lauchstädt",0
"4710",66,1,10,NA,8.2,NA,1.1,NA,3,22.1,1.8,1,0,"2018 - 2019","Bad Lauchstädt",1
"4810",67,1,3,5,6.6,6,1,1.5,0,NA,NA,1,1,"2018 - 2019","Bad Lauchstädt",0
"4910",69,1,5,4,5.9,5.5,0.6,0.5,0,NA,NA,1,1,"2018 - 2019","Bad Lauchstädt",0
"5010",47,1,7,NA,11.7,NA,1.5,NA,4,32.5,2.8,1,0,"2018 - 2019","Bad Lauchstädt",1
"5110",43,1,6,NA,10.5,NA,1.5,NA,5,38.7,3.7,1,0,"2018 - 2019","Bad Lauchstädt",1
"5210",37,1,11,NA,14.7,NA,1.7,NA,5,33.5,2.7,2,0,"2018 - 2019","Bad Lauchstädt",1
"5310",35,1,8,4,8.5,6,1,0.5,0,NA,NA,2,1,"2018 - 2019","Bad Lauchstädt",0
"5410",39,1,7,13,10.5,8,0.9,0.9,0,NA,NA,2,1,"2018 - 2019","Bad Lauchstädt",0
"5510",40,1,3,NA,11.3,NA,1,NA,0,NA,NA,2,0,"2018 - 2019","Bad Lauchstädt",0
"561",36,1,9,NA,11.5,NA,1.3,NA,1,17.9,1.5,2,0,"2018 - 2019","Bad Lauchstädt",1
"571",54,1,5,13,6.3,6.3,0.9,0.9,0,NA,NA,2,1,"2018 - 2019","Bad Lauchstädt",0
"591",9,1,6,3,6.7,9,0.7,0.5,3,17.2,0.7,2,1,"2018 - 2019","Bad Lauchstädt",1
"601",13,1,3,NA,5,NA,0.7,NA,2,7.5,0.7,2,0,"2018 - 2019","Bad Lauchstädt",1
"611",44,1,26,4,12.2,11.5,1.4,1.1,16,41.7,3.6,1,1,"2018 - 2019","Bad Lauchstädt",1
"621",49,1,10,5,11.2,6,1.5,0.6,6,32.4,3,1,1,"2018 - 2019","Bad Lauchstädt",1
"631",70,1,6,3,6.6,5.3,0.8,1,0,NA,NA,1,1,"2018 - 2019","Bad Lauchstädt",0
"641",81,1,3,3,8.2,5.5,0.6,0.3,0,NA,NA,1,1,"2018 - 2019","Bad Lauchstädt",0
"651",82,1,4,8,6.7,5.5,0.7,0.5,0,NA,NA,1,1,"2018 - 2019","Bad Lauchstädt",0
"661",51,1,5,4,8,3.4,0.5,0.3,0,NA,NA,1,1,"2018 - 2019","Bad Lauchstädt",0
"671",50,1,7,NA,11.3,NA,1.8,NA,3,27.2,1.9,1,0,"2018 - 2019","Bad Lauchstädt",1
"681",48,1,10,13,9.5,7,1.2,15,3,25.5,2,1,1,"2018 - 2019","Bad Lauchstädt",1
"691",48,1,5,13,8,7,1,15,3,20,1.2,1,1,"2018 - 2019","Bad Lauchstädt",1
"701",46,1,30,NA,11.4,NA,0.9,NA,11,19,2,1,0,"2018 - 2019","Bad Lauchstädt",1
"711",42,1,12,NA,10,NA,1.5,NA,12,24,1.7,1,0,"2018 - 2019","Bad Lauchstädt",1
"721",45,1,8,NA,11.5,NA,1,NA,0,NA,NA,1,0,"2018 - 2019","Bad Lauchstädt",0
"731",52,1,6,8,8,7.2,1.1,0.8,1,9.6,0.6,1,1,"2018 - 2019","Bad Lauchstädt",1
"741",75,1,2,3,9,2,0.9,0.3,0,NA,NA,1,1,"2018 - 2019","Bad Lauchstädt",0
"751",56,1,20,20,11.5,13.5,1.4,1,8,33,1.7,1,1,"2018 - 2019","Bad Lauchstädt",1
"761",53,1,6,5,8,5,1.7,0.6,1,18.5,1,1,1,"2018 - 2019","Bad Lauchstädt",1
"771",53,1,15,5,12.4,5,1.5,0.6,5,23,1,1,1,"2018 - 2019","Bad Lauchstädt",1
"781",74,1,9,NA,9.2,NA,1.4,NA,3,32.5,2.7,3,0,"2018 - 2019","Bad Lauchstädt",1
"791",68,1,13,8,9,8.5,0.9,0.8,7,23.3,1.7,3,1,"2018 - 2019","Bad Lauchstädt",1
"801",59,1,6,8,9.3,7,0.9,0.8,0,NA,NA,3,1,"2018 - 2019","Bad Lauchstädt",0
"811",61,1,4,4,7.4,9,0.5,0.8,0,NA,NA,3,1,"2018 - 2019","Bad Lauchstädt",0
"821",60,1,11,9,10,6,1.3,1.7,0,NA,NA,3,1,"2018 - 2019","Bad Lauchstädt",0
"831",58,1,15,NA,11.9,NA,0.7,NA,14,31.2,1.4,3,0,"2018 - 2019","Bad Lauchstädt",1
"841",62,1,8,4,11,5.2,1.5,0.7,3,28.7,1.3,3,1,"2018 - 2019","Bad Lauchstädt",1
"851",63,1,5,10,8.9,10.5,0.7,1.3,1,17.7,0.7,3,1,"2018 - 2019","Bad Lauchstädt",1
"861",65,1,6,7,8.5,9,0.8,1.4,0,NA,NA,3,1,"2018 - 2019","Bad Lauchstädt",0
"871",71,1,4,8,5.1,6,0.5,0.4,0,NA,NA,3,1,"2018 - 2019","Bad Lauchstädt",0
"881",73,1,4,NA,5.8,NA,0.5,NA,0,NA,NA,3,0,"2018 - 2019","Bad Lauchstädt",0
"891",72,1,56,6,14.5,7,1.2,0.6,35,37.8,2.4,3,1,"2018 - 2019","Bad Lauchstädt",1
"901",76,1,8,13,8.6,10,0.5,0.8,0,NA,NA,0,1,"2018 - 2019","Bad Lauchstädt",0
"911",77,1,4,4,9,6,0.7,0.8,0,NA,NA,0,1,"2018 - 2019","Bad Lauchstädt",0
"921",78,1,10,NA,12.3,NA,1.2,NA,0,NA,NA,0,0,"2018 - 2019","Bad Lauchstädt",0
"941",80,1,8,NA,9.4,NA,0.9,NA,4,10.8,0.6,0,0,"2018 - 2019","Bad Lauchstädt",1
"951",79,1,18,16,10.4,7,1.2,0.5,7,24.4,1.9,0,1,"2018 - 2019","Bad Lauchstädt",1
"961",84,1,5,3,10.3,9.6,0.9,1.1,0,NA,NA,0,1,"2018 - 2019","Bad Lauchstädt",0
"971",84,1,3,3,3.6,9.6,0.4,1.1,0,NA,NA,0,1,"2018 - 2019","Bad Lauchstädt",0
"981",85,1,6,4,8.7,8.5,1,1.4,0,NA,NA,0,1,"2018 - 2019","Bad Lauchstädt",0
"991",86,1,13,3,16,7.5,1.1,0.9,8,37.6,2.8,0,1,"2018 - 2019","Bad Lauchstädt",1
"1001",86,1,21,3,15.5,7.5,1.3,0.9,10,34.2,1.4,0,1,"2018 - 2019","Bad Lauchstädt",1
"1011",90,1,6,5,12.5,9,1.2,1.5,2,22.5,1.7,0,1,"2018 - 2019","Bad Lauchstädt",1
"1021",90,1,5,5,10.5,9,1.2,1.5,0,NA,NA,0,1,"2018 - 2019","Bad Lauchstädt",0
"1031",89,1,52,NA,12.4,NA,1.4,NA,16,33.4,2.2,0,0,"2018 - 2019","Bad Lauchstädt",1
